observações,x,y,y_estimado,residuo
1,258.3,52.25,73.9045021173562,-21.654502117356202
2,343.1,58.32,84.78337548658114,-26.463375486581135
3,425.0,81.79,95.29021191275473,-13.500211912754722
4,467.5,119.9,100.7424774574724,19.1575225425276
5,482.9,125.8,102.71812191367599,23.08187808632401
6,487.7,100.46,103.33390719872646,-2.873907198726471
7,496.5,121.51,104.46284688798565,17.047153112014357
8,519.4,100.08,107.40065585208058,-7.320655852080577
9,543.3,127.75,110.4667534172277,17.283246582772307
10,548.7,104.94,111.15951186290948,-6.219511862909485
11,564.6,107.48,113.19930061963916,-5.7193006196391565
12,588.3,98.48,116.23974046457585,-17.75974046457584
13,591.3,181.21,116.62460626773239,64.58539373226762
14,607.3,122.23,118.67722388456727,3.552776115432735
15,611.2,129.57,119.17754942867077,10.39245057132922
16,631.0,92.84,121.71766372950395,-28.87766372950395
17,659.6,117.92,125.38671771959633,-7.466717719596332
18,664.0,82.13,125.95118756422593,-43.82118756422594
19,704.2,182.28,131.1083893265236,51.17161067347641
20,704.8,139.13,131.1853624871549,7.944637512845105
21,719.8,98.14,133.1096915029376,-34.96969150293761
22,720.0,123.94,133.13534922314804,-9.195349223148042
23,722.3,126.31,133.43041300556806,-7.120413005568054
24,722.3,146.47,133.43041300556806,13.039586994431943
25,734.4,115.98,134.98270507829943,-19.002705078299428
26,742.5,207.23,136.0218427468221,71.20815725317789
27,747.7,119.8,136.68894347229346,-16.888943472293462
28,763.3,151.33,138.69024564870745,12.639754351292567
29,810.2,169.51,144.70698103805475,24.80301896194524
30,818.5,108.03,145.77177642678785,-37.74177642678785
31,825.6,168.9,146.68262549425833,22.217374505741674
32,833.3,227.11,147.6704477223601,79.4395522776399
33,834.0,84.94,147.76024974309664,-62.82024974309664
34,918.1,98.7,158.54932109158503,-59.849321091585026
35,918.1,141.06,158.54932109158503,-17.489321091585026
36,929.6,215.4,160.0246400036851,55.3753599963149
37,951.7,112.89,162.8598180869383,-49.969818086938304
38,1014.0,166.25,170.85219793248916,-4.602197932489162
39,1141.3,115.43,187.18333684643179,-71.75333684643178
40,1154.6,269.03,188.88957524042578,80.14042475957419
